"filename", "language", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\User\Desktop\adverts247-stream\.expo-shared\assets.json", "JSON", 0, 0, 4, 0, 1, 5
"c:\Users\User\Desktop\adverts247-stream\App.js", "JavaScript", 26, 0, 0, 0, 9, 35
"c:\Users\User\Desktop\adverts247-stream\README.md", "Markdown", 0, 2, 0, 0, 1, 3
"c:\Users\User\Desktop\adverts247-stream\app.json", "JSON", 0, 0, 17, 16, 0, 33
"c:\Users\User\Desktop\adverts247-stream\babel.config.js", "JavaScript", 6, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\adverts247-stream\package-lock.json", "JSON", 0, 0, 8102, 0, 1, 8103
"c:\Users\User\Desktop\adverts247-stream\package.json", "JSON", 0, 0, 38, 0, 1, 39
"c:\Users\User\Desktop\adverts247-stream\src\api\adverts247Api.js", "JavaScript", 5, 0, 0, 0, 3, 8
"c:\Users\User\Desktop\adverts247-stream\src\api\weatherApi.js", "JavaScript", 5, 0, 0, 0, 2, 7
"c:\Users\User\Desktop\adverts247-stream\src\components\CustomInput.js", "JavaScript", 25, 0, 0, 0, 6, 31
"c:\Users\User\Desktop\adverts247-stream\src\context\DriverContext.js", "JavaScript", 89, 0, 0, 0, 26, 115
"c:\Users\User\Desktop\adverts247-stream\src\context\createDataContext.js", "JavaScript", 15, 0, 0, 0, 10, 25
"c:\Users\User\Desktop\adverts247-stream\src\hooks\useAnimation.js", "JavaScript", 161, 0, 0, 1, 31, 193
"c:\Users\User\Desktop\adverts247-stream\src\hooks\useDate.js", "JavaScript", 28, 0, 0, 0, 8, 36
"c:\Users\User\Desktop\adverts247-stream\src\hooks\useLocation.js", "JavaScript", 24, 0, 0, 0, 9, 33
"c:\Users\User\Desktop\adverts247-stream\src\hooks\useWeatherData.js", "JavaScript", 31, 0, 0, 0, 12, 43
"c:\Users\User\Desktop\adverts247-stream\src\navigationRef.js", "JavaScript", 13, 0, 0, 0, 4, 17
"c:\Users\User\Desktop\adverts247-stream\src\screens\DriverInfoScreen.js", "JavaScript", 388, 0, 0, 1, 21, 410
"c:\Users\User\Desktop\adverts247-stream\src\screens\PreAuthScreen.js", "JavaScript", 26, 0, 0, 0, 12, 38
"c:\Users\User\Desktop\adverts247-stream\src\screens\SigninScreen.js", "JavaScript", 64, 0, 0, 0, 12, 76
"c:\Users\User\Desktop\adverts247-stream\src\screens\WelcomeScreen.js", "JavaScript", 52, 0, 0, 0, 15, 67
"c:\Users\User\Desktop\adverts247-stream\src\utils\weatherIconDictionary.js", "JavaScript", 66, 0, 0, 0, 1, 67
"Total", "-", 1024, 2, 8161, 18, 186, 9391